id,name,city,county,website
6743,Positive Behavior Supports Corporation - Gainesville,Gainesville,Alachua,https://www.teampbs.com
5965,"DR. KRISTA GREENFIELD, PSYD",Cocoa Beach,Brevard,https://www.drgreenfield.com/
10568,Hetherington Therapy,Melbourne,Brevard,hetheringtontherapy.com
10627,Positive Behavior Supports Corporation - Melbourne,Melbourne,Brevard,https://www.teampbs.com
10597,ABA Centers of Florida - Miramar,Miramar,Broward,https://abacentersfl.com
10600,ABA Centers of Florida - Tamarac,Tamarac,Broward,https://abacentersfl.com
5884,BROWARD CHILDRENS CENTER,Pompano Beach,Broward,https://bcckids.org
10477,Dog Training Elite Broward,Weston,Broward,https://dogtrainingelite.com/fort-lauderdale
10639,LifeStance Health - Hollywood,Hollywood,Broward,https://lifestance.com/location/state/florida/
10625,Positive Behavior Supports Corporation - Pembroke Pines,Pembroke Pines,Broward,https://www.teampbs.com
10631,Thriveworks Counseling & Psychiatry - Davie,Davie,Broward,https://thriveworks.com/davie-counseling/
10640,LifeStance Health - Jacksonville,Jacksonville,Duval,https://lifestance.com/location/state/florida/
10619,Positive Behavior Supports Corporation - Jacksonville,Jacksonville,Duval,https://www.teampbs.com
6276,"ARC GATEWAY, INC.",Pensacola,Escambia,https://arc-gateway.org
10595,ABA Centers of Florida - Tampa,Tampa,Hillsborough,https://abacentersfl.com
10635,LifeStance Health - Brandon,Brandon,Hillsborough,https://lifestance.com/location/state/florida/
10653,LifeStance Health - Tampa,Tampa,Hillsborough,https://lifestance.com/location/state/florida/
10623,Positive Behavior Supports Corporation - Brandon,Brandon,Hillsborough,https://www.teampbs.com
10622,Positive Behavior Supports Corporation - Tampa,Tampa,Hillsborough,https://www.teampbs.com
10637,LifeStance Health - Clermont,Clermont,Lake,https://lifestance.com/location/state/florida/
7315,ABA Results,Fort Myers,Lee,http://abaresults.com/
6040,Hopebridge Autism Therapy Center - Fort Myers - 4150 Ford St,Fort Myers,Lee,https://www.hopebridge.com/centers/fort-myers-fl/
6572,Impact For Developmental,Fort Myers,Lee,https://impactforkids.org/
10638,LifeStance Health - Fort Myers,Fort Myers,Lee,https://lifestance.com/location/state/florida/
10624,Positive Behavior Supports Corporation - Fort Myers,Fort Myers,Lee,https://www.teampbs.com
8722,Sovereign Developmental Center Corporate Office,Fort Myers,Lee,http://www.sdcfl.org/
7094,"Florida Autism Center Tallahassee, a division of BlueSprig - 2868 Mahan Dr , 26, 27",Tallahassee,Leon,https://www.bluesprigautism.com/centers/florida/florida-autism-center-tallahassee/
7095,Hopebridge Autism Therapy Center - Tallahassee - 3600 Maclay Blvd S,Tallahassee,Leon,https://www.hopebridge.com/centers/tallahassee-fl/
10302,IMPACT Academy of Tallahassee,Tallahassee,Leon,http://impacttlh.org/academy/
10620,Positive Behavior Supports Corporation - Tallahassee,Tallahassee,Leon,https://www.teampbs.com
8934,"THE ARC OF LEVY COUNTY, INC.",Chiefland,Levy,https://thearcoflevy.org
10618,Positive Behavior Supports Corporation - Stuart (HQ),Stuart,Martin,https://www.teampbs.com
6729,Easterseals South Florida,Miami,Miami-Dade,http://southflorida.easterseals.com/
10643,LifeStance Health - Miami,Miami,Miami-Dade,https://lifestance.com/location/state/florida/
10644,LifeStance Health - Miami Lakes,Miami Lakes,Miami-Dade,https://lifestance.com/location/state/florida/
10626,Positive Behavior Supports Corporation - Miami,Miami,Miami-Dade,https://www.teampbs.com
10632,Thriveworks Counseling & Psychiatry - Miami,Miami,Miami-Dade,https://thriveworks.com/miami-counseling-therapy/
10607,"ABA Kids Connection, Inc - Orlando",Orlando,Orange,https://abakidsconnection.com/
10605,"AdventHealth Medical Group Pediatric Neuropsychology - Dr. Stephanie Jerome - Orange Ave., Orlando",Orlando,Orange,https://www.adventhealth.com/find-doctor/doctor/stephanie-jerome-phd-1639774201
10604,"AdventHealth Medical Group Pediatric Neuropsychology - Dr. Stephanie Jerome - Princeton St., Orlando",Orlando,Orange,https://www.adventhealth.com/find-doctor/doctor/stephanie-jerome-phd-1639774201
10606,AdventHealth Medical Group Pediatric Psychology - Dr. Chloe Barry - Winter Park,Winter Park,Orange,https://www.adventhealth.com/find-doctor/doctor/chloe-barry-phd-1912574757
10475,Dog Training Elite Orlando,Orlando,Orange,https://dogtrainingelite.com/orlando
10642,LifeStance Health - Maitland,Maitland,Orange,https://lifestance.com/location/state/florida/
10646,LifeStance Health - Ocoee,Ocoee,Orange,https://lifestance.com/location/state/florida/
10650,LifeStance Health - Orlando (Lake Nona),Orlando,Orange,https://lifestance.com/location/state/florida/
10647,LifeStance Health - Orlando (Lake Underhill),Orlando,Orange,https://lifestance.com/location/state/florida/
10649,LifeStance Health - Orlando (New Broad),Orlando,Orange,https://lifestance.com/location/state/florida/
10648,LifeStance Health - Orlando (Robinson),Orlando,Orange,https://lifestance.com/location/state/florida/
10621,Positive Behavior Supports Corporation - Orlando,Orlando,Orange,https://www.teampbs.com
10633,Thriveworks Counseling & Psychiatry - Maitland,Maitland,Orange,https://thriveworks.com/maitland-counseling/
10596,ABA Centers of Florida - Celebration,Celebration,Osceola,https://abacentersfl.com
10636,LifeStance Health - Celebration,Celebration,Osceola,https://lifestance.com/location/state/florida/
10641,LifeStance Health - Kissimmee,Kissimmee,Osceola,https://lifestance.com/location/state/florida/
6393,Magnify of Central Florida,St. Cloud,Osceola,https://magnifyfl.org
10594,ABA Centers of Florida - Boca Raton,Boca Raton,Palm Beach,https://abacentersfl.com
10598,ABA Centers of Florida - Royal Palm Beach,Royal Palm Beach,Palm Beach,https://abacentersfl.com
10476,Dog Training Elite Palm Beach County,West Palm Beach,Palm Beach,https://dogtrainingelite.com/palm-beach-county
10629,Thriveworks Counseling & Psychiatry - Boca Raton,Boca Raton,Palm Beach,https://thriveworks.com/boca-raton-counseling/
10630,Thriveworks Counseling & Psychiatry - Boynton Beach,Boynton Beach,Palm Beach,https://thriveworks.com/boynton-beach-counseling/
10599,ABA Centers of Florida - Wesley Chapel,Wesley Chapel,Pasco,https://abacentersfl.com
10645,LifeStance Health - New Port Richey,New Port Richey,Pasco,https://lifestance.com/location/state/florida/
6448,1 CARE LLC,Largo,Pinellas,https://www.dosomethinggreatthisweek.com/
8672,"ADAPT & TRANSFORM BEHAVIOR, LLC",St. Petersburg,Pinellas,https://atbx.org
10651,LifeStance Health - Palm Harbor,Palm Harbor,Pinellas,https://lifestance.com/location/state/florida/
10589,Spectrum Strong,Palm Harbor,Pinellas,https://www.facebook.com/share/p/17ZpQHpChZ/
10634,Thriveworks Counseling & Psychiatry - St Petersburg,St Petersburg,Pinellas,https://thriveworks.com/st-petersburg-counseling-therapy/
10652,LifeStance Health - Sarasota,Sarasota,Sarasota,https://lifestance.com/location/state/florida/
