provider_name,website,phone,address1,city,county
ABA Centers of Florida,https://abacentersfl.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-orlando,(877) 685-2783,"2145 Metrocenter Blvd #350, Orlando, FL 32835, USA",Orlando,null
Aba Therapy of Palm Beach,https://www.abatherapyofpalmbeach.com/,(561) 284-0625,"1850 Forest Hill Blvd #102, West Palm Beach, FL 33406, USA",West Palm Beach,null
Abacus Therapies - ABA Therapy in Hollywood FL,https://abacustherapies.com/aba-therapy/broward/,(954) 400-3251,"4000 Hollywood Blvd suite 555-s, Hollywood, FL 33021, USA",Hollywood,null
AdventHealth Sports Med and Rehab Pediatrics Mills Park,https://www.adventhealth.com/sports-medicine-and-rehab/adventhealth-sports-med-and-rehab-central-florida,(407) 303-1575,"1724 N Mills Ave Suite 400, Orlando, FL 32803, USA",Orlando,null
AGES Serenity Center,http://angelofgodequine.org/,(813) 785-4459,"9249 McKendree Rd, Wesley Chapel, FL 33545, USA",Wesley Chapel,null
Ally Pets,https://myallypets.com/?utm_campaign=gmb,(954) 408-7117,"1700 N University Dr, Coral Springs, FL 33071, USA",Coral Springs,null
Angel Hugs Foundation,https://angelhugsfoundation.org/contact/,(954) 614-4432,"15505 Miami Lakeway N, Miami Lakes, FL 33014, USA",Miami Lakes,null
Angels for kids and Families on call,http://www.angelsforkidsoncall.net/,(407) 730-7983,"3463 E Colonial Dr G-02, Orlando, FL 32803, USA",Orlando,null
Animal Emergency Hospital Volusia,https://animalervolusia.com/,(386) 252-0206,"696 S Yonge St suite d, Ormond Beach, FL 32174, USA",Ormond Beach,null
Arc Broward,http://www.arcbroward.com/,(954) 746-9400,"10250 NW 53rd St, Sunrise, FL 33351, USA",Sunrise,null
ASGO,http://www.asgo.org/,(407) 855-0235,"1650 Sand Lake Rd Ste 240, Orlando, FL 32809, USA",Orlando,null
Asperger Friends,https://www.aspergerfriends.org/,(850) 384-3599,"4228 Oak Run Ln, Tallahassee, FL 32317, USA",Tallahassee,null
Autism Acceptance Center,https://aastampa.org/contact/,(813) 879-6770,"5483 W Waters Ave Suite 1200N, Tampa, FL 33634, USA",Tampa,null
"Autism Navigator, LLC.",http://autismnavigator.com/,(844) 427-3457,"1400 Village Square Blvd Suite #3-157, Tallahassee, FL 32312, USA",Tallahassee,null
"Autism Services of Florida, LLC",http://www.autismserviceoffl.com/,(239) 349-3139,"12501 World Plaza Ln Building 51, Fort Myers, FL 33907, USA",Fort Myers,null
Autism Specialty Group,https://www.autismspecialtygroup.com/,(305) 767-1924,"64 NW 54th St #103, Miami, FL 33127, USA",Miami,null
