provider_name,website,phone,address1,city,county
"""Play Strong Kids""- Building Resilience and Ending Behavioral and Emotional Challenges in Children",https://www.playstrongkids.com/,(727) 222-5667,"205 Crystal Grove Blvd #102, Lutz, FL 33549, USA",Lutz,null
24/7 Chiropractic Wellness & Rehab,http://247chiropractic.com/,(352) 340-3220,"2631 Forest Rd, Spring Hill, FL 34606, USA",Spring Hill,null
360 Therapy,https://www.360therapy.care/?utm_source=omg-gbp&utm_medium=webclick,(305) 396-6009,"1380 NE Miami Gardens Dr #242, North Miami Beach, FL 33179, USA",North Miami Beach,null
4x4 Stables,null,(754) 269-0608,"18130 SW 68th Ct, Southwest Ranches, FL 33331, USA",Southwest Ranches,null
"A Heart for H.E.R.O's, Inc.",http://www.aheartforheros.org/,(863) 207-8947,"5247 Rifle Range Rd, Bartow, FL 33830, USA",Bartow,null
A Horse's Touch,https://www.facebook.com/profile.php?id=100063618938779,(813) 992-0743,"12435 Cody Dr, Wimauma, FL 33598, USA",Wimauma,null
A.C.A CENTER,https://acacenter.us/,(786) 271-9696,"8850 NW 13th Terrace # 107, Miami, FL 33172, USA",Miami,null
A&A Adventure Horse Trail Rides,https://www.aaadventurehorsetrails.com/,(954) 816-2685,"Call for reservation, Office only, 2764 SW 83rd Ave, Miramar, FL 33025, USA",Miramar,null
AA Animal ER Center,http://www.aaanimalercenter.com/,(727) 787-5402,"36401 US-19, Palm Harbor, FL 34684, USA",Palm Harbor,null
"ABA THERAPY LEADERS BEHAVIOR ABA & COUNSELING, LLC",https://leadersabatherapy.com/,(772) 333-4411,"1600 SW Sylvester Ln, Port St. Lucie, FL 34984, USA",Port St. Lucie,null
Accomplished Canine,http://accomplishedcanine.com/,(904) 999-4642,"1904 San Marie Dr S, Jacksonville, FL 32217, USA",Jacksonville,null
Activo-Med,null,(561) 635-2216,"1851 Corsica Dr, Wellington, FL 33414, USA",Wellington,null
Acts2Acres Equestrian Center,http://www.acts2acres.com/,(954) 326-2528,"16668 Winners Cir #9, Delray Beach, FL 33446, USA",Delray Beach,null
Advanced Physical Therapy Specialists,http://www.advancedpts.com/,(305) 433-1172,"7520 SW 57th Ave # E-1, South Miami, FL 33143, USA",South Miami,null
AdventHealth Centra Care Lee Road,https://centracare.adventhealth.com/urgent-care/lee-road,(407) 629-9281,"2540 Lee Rd, Winter Park, FL 32789, USA",Winter Park,null
AdventHealth Centra Care Waterford Lakes,https://centracare.adventhealth.com/urgent-care/waterford-lakes,(407) 381-4810,"250 N Alafaya Trail # 135, Orlando, FL 32825, USA",Orlando,null
Affirming Words Counseling LLC,http://www.affirmingwords.org/,(973) 204-4100,"901 SW Martin Downs Blvd, Palm City, FL 34990, USA",Palm City,null
Aidan Post-Acute and Rehabilitation Center,null,(772) 465-7560,"700 S 29th St, Fort Pierce, FL 34947, USA",Fort Pierce,null
Akc Saint Bernard Puppies,https://www.akcsaintbernardpuppies.com/,(989) 460-7960,"1111 State Rte 50, Brooksville, FL 34601, USA",Brooksville,null
Alachua County Agriculture and Equestrian Center,https://www.visitgainesville.com/explore/attraction/alachua-county-agricultural-and-equestrian-center/,(352) 472-6758,"23100 W Newberry Rd, Newberry, FL 32669, USA",Newberry,null
All About Dogs! Pet Sitting Services,http://allaboutdogspss.com/,(561) 707-3617,"1600 Royal Forest Ct, West Palm Beach, FL 33406, USA",West Palm Beach,null
All About Puppies,https://allaboutpuppiesflorida.com/,(727) 536-4900,"7190 Ulmerton Rd, Largo, FL 33771, USA",Largo,null
All About Puppies,https://allaboutpuppiesflorida.com/,(863) 816-5658,"4000 US Hwy 98 N #301, Lakeland, FL 33809, USA",Lakeland,null
All Creatures Animal Clinic,https://www.allcreaturesfl.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTE2NjkwMjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(863) 646-5683,"1019 W Pipkin Rd, Lakeland, FL 33811, USA",Lakeland,null
All critters pet boarding service,https://allcritterspetboardingservice.com/,(813) 418-9039,"8005 Racetrack Rd, Tampa, FL 33635, USA",Tampa,null
All Dogs Unleashed Dog Training Tampa,https://www.alldogsunleashed.com/tampa/,(813) 442-9538,"8361 Stone Run Ct, Tampa, FL 33615, USA",Tampa,null
All Dogs Unleashed Orlando,https://www.alldogsunleashed.com/orlando/,(407) 987-4222,"7480 Narcoossee Rd #100A, Orlando, FL 32822, USA",Orlando,null
"All Fur Pets, Inc",https://allfurpetsjax.com/,(904) 738-0579,"6849 St Augustine Rd, Jacksonville, FL 32217, USA",Jacksonville,null
All Heavenly Creatures Pet Crematory is Now Resting Rainbow of Port St. Lucie,https://www.restingrainbow.com/locations/port-st-lucie,(772) 878-2315,"8555 S Federal Hwy, Port St. Lucie, FL 34952, USA",Port St. Lucie,null
Allied Health & Rehabilitation,https://callallied.com/,(850) 328-0424,"177 Salem Ct, Tallahassee, FL 32301, USA",Tallahassee,null
Allied Physical Therapy Wellness Community,http://alliedpt.com/,(239) 242-0070,"1469 SW 4th Terrace, Cape Coral, FL 33991, USA",Cape Coral,null
AlphA and Omega Dog Training - Fort Lauderdale,http://www.alphaandomegadogtraining.com/,(844) 739-0990,"Main, Pompano Beach, FL 33062, USA",Pompano Beach,null
AlphA and Omega Dog Training - Miami,https://alphaandomegadogtraining.com/,(844) 739-0990,"880 NE 69th St APT 4S, Miami, FL 33138, USA",Miami,null
Alpha Buddy Dog Training,https://alphabuddydogtraining.com/,(305) 873-4555,"2805 SW 6th St, Fort Lauderdale, FL 33312, USA",Fort Lauderdale,null
"Always Dreaming Horse Ranch and Rescue, INC",null,null,"10920 Barn Rd, Lake Worth Beach, FL 33449, USA",Lake Worth Beach,null
Amber Glen Farm & Equestrian Center,null,(727) 423-7812,"6348 102nd Ave N, Pinellas Park, FL 33782, USA",Pinellas Park,null
AMP Stables & Boarding,http://www.ampstables.com/,(954) 228-9165,"16548 Winners Cir Barn 7, Delray Beach, FL 33446, USA",Delray Beach,null
Amplify Therapeutic Services,http://www.amplifytherapeuticservices.com/,(904) 257-6834,"2309 Park St, Jacksonville, FL 32204, USA",Jacksonville,null
Amy's Canine Kindergarten,http://amysk9kindergarten.com/,(813) 785-9159,"16326 Nikki Ln, Odessa, FL 33556, USA",Odessa,null
Angel Paws,https://rymaps.com/business/angel-paws-ivrcf9,(407) 879-7553,"11110 SW 10th Ct, Pembroke Pines, FL 33025, USA",Pembroke Pines,null
Angel Paws Massage,http://www.angelpawsmassage.com/,(561) 512-8768,"10235 Sandy Run Rd, Jupiter, FL 33478, USA",Jupiter,null
Angel's Animal Sanctuary,https://www.angelsanimalsanctuary.org/,(386) 732-7257,"330 Spring Forest Dr, New Smyrna Beach, FL 32168, USA",New Smyrna Beach,null
Animal & Exotic Medical Center,http://animalandexoticmedicalcenter.vetstreet.com/,(813) 269-5200,"18962 N Dale Mabry Hwy, Lutz, FL 33548, USA",Lutz,null
Animal Aid & Spay/Neuter Center,https://animalaid.us/,(850) 386-4148,"2270 Boone Blvd, Tallahassee, FL 32303, USA",Tallahassee,null
Animal Associates,http://www.animalassoc.com/,(727) 725-2788,"955 Delaware St, Safety Harbor, FL 34695, USA",Safety Harbor,null
Animal Cancer Care Clinic,http://www.animalcancercareclinic.com/,(954) 527-3111,"2239 S Kanner Hwy, Stuart, FL 34994, USA",Stuart,null
Animal Cancer Care Clinic,http://www.animalcancercareclinic.com/,(954) 527-3111,"6394 S Dixie Hwy, Miami, FL 33143, USA",Miami,null
Animal Cancer Care Clinic,http://www.animalcancercareclinic.com/,(407) 930-6679,"106 N Dean Rd #120, Orlando, FL 32825, USA",Orlando,null
Animal Care Clinic of Largo,http://www.acaringanimalhospitallargo.com/,(727) 614-9732,"1100 Seminole Blvd, Largo, FL 33770, USA",Largo,null
Animal Eye Clinic,http://www.animaleyevets.com/,(904) 278-7850,"1615 Mahan Center Blvd, Tallahassee, FL 32308, USA",Tallahassee,null
Animal Eye Clinic,http://www.animaleyevets.com/,(904) 278-7850,"275 Corporate Way Ste. 200, Orange Park, FL 32073, USA",Orange Park,null
Animal Eye Doctors,https://animaleyedoctors.com/,(239) 948-3937,"9180 Estero Park Commons Blvd #4, Estero, FL 33928, USA",Estero,null
Animal Eye Specialty Clinic - Stuart,https://www.animaleyespecialtyclinic.com/,(772) 220-8485,"2239 S Kanner Hwy, Stuart, FL 34994, USA",Stuart,null
Animal General Hospital,http://www.petsvet.com/,(772) 344-8835,"501 SW Port St Lucie Blvd, Port St. Lucie, FL 34953, USA",Port St. Lucie,null
Animal Healing Solutions,http://www.animalhealingsolutions.com/,(407) 308-7878,"1117 E Altamonte Dr, Altamonte Springs, FL 32701, USA",Altamonte Springs,null
Animal Health Center of Land O' Lakes,https://www.ahclandolakes.com/,(813) 996-3800,"9555 Land O' Lakes Blvd, Land O' Lakes, FL 34638, USA",Land O' Lakes,null
Animal Health Center of Port St Lucie,http://ahcpsl.com/,(772) 873-4745,"1861 SW Gatlin Blvd, Port St. Lucie, FL 34953, USA",Port St. Lucie,null
Animal Inn-New Port Richey,http://www.animalinnpascodogboarding.com/,(727) 847-7480,"8247 Pala Ct, New Port Richey, FL 34653, USA",New Port Richey,null
Animal Medical Hospital,https://animalmedicalhospital.net/,(727) 896-7127,"2540 30th Ave N, St. Petersburg, FL 33713, USA",St. Petersburg,null
