id,name,address1,address2,city,state,zip_code
5775,CHANGING HANDS HOME CARE,6966 Jack Horner Ln,null,Jacksonville,FL,32210
5799,SISTERS HOME CARE SERVICES INC,4010 Highgate Dr,null,Valrico,FL,33594
6050,"OLGA LIMONTE, INC",6721 Sw 49th Ter,null,Miami,FL,33155
6068,IRIE CARE LLC,2128 Anoka Way,null,Leesburg,FL,34748
6069,VICTORY PROVIDER LLC,507 Se 12th Ter,null,Gainesville,FL,32641
6081,"FAITH INDEPENDENCE LLC
FAITH HEALTH SOLUTIONS",456 Canby Cir,null,Ocoee,FL,34761
6103,SUPERIOR PRIVATE TRANSPORTATION OF SWFL,12914 3rd St 12914 3rd St,null,Fort Myers,FL,33905
6139,FANTA VILLA CARE SERVICES LLC,19135 Us Hwy 19 N,Suite,Clearwater,FL,33764
6158,KID CARE RESPIRATORY SERVICES CORP,9930 Nw 26th St,null,Doral,FL,33172
6177,VINSONNA PHYSICAL THERAPY,5079 N Dixie Hwy,Suite,Oakland Park,FL,33334
6206,"INDEPENDENCE CONNECTION, LLC",2473 9th Ave N,null,St. Petersburg,FL,33713
6208,"RARE SOUL CARE SERVICES, LLC",7205 Bryan Dairy Rd,null,Largo,FL,33777
6248,"COMMUNITY BEHAVIOR SUPPORTS, INC.",4717 66th St N,null,Kenneth City,FL,33709
6250,SHELBEA HOUSTON LLC,1805 James L Redman Pkwy,Suite,Plant City,FL,33563
6261,"D-TEC DEVELOPING THROUGH ENRICHED CURRICULUM, INC",10766 56th St N,null,Pinellas Park,FL,33782
6262,A FOUNTAIN OF YOUTH HOME CARE,2229 Richwood Pike Dr,null,Ruskin,FL,33570
6278,DANDRIDGE NOVELLA,2741 Talco Hills Dr,Suite,Tallahassee,FL,32303
6291,FLEMING SUPPORT SERVICES,5991 Che,Suite,Jacksonville,FL,32217
6368,ABACO CONSTRUCTION INC.,6800 Sw 27th St,null,Miami,FL,33155
6405,GRACE IN MOTION LLC,2534 Ne 20th Pl,null,Cape Coral,FL,33909
6421,JMB LOVING CARE LLC,1629 Gulf Rd,null,Tarpon Springs,FL,34689
6438,YOUR CHOICE UNLIMITED INC,30221 Eastport Dr,null,Wesley Chapel,FL,33545
6447,XTRA HELPING HANDS AND HEARTS LLC,1459 Bitterberry Dr,null,Orange Park,FL,32065
6459,ALF PHILLIPPE RIDGE,1055 Phillippe Pkwy,null,Safety Harbor,FL,34695
6466,TROWBRIDGE AG LLC,640 Villagrande Ave S,null,St. Petersburg,FL,33707
6469,"C & D ENTERPRISES OF NE FL, LLC
A MOTHERLY LOVE LIVING FACILITY",8058 Swamp Flower Dr E,null,Jacksonville,FL,32244
6509,AMORE AT HOME LLC,6217 Colmar Pl,null,Apollo Beach,FL,33572
6510,AUDUBON GARDENS GROUP LLC,1504 Bennett Rd,null,Orlando,FL,32803
6657,UTOPIA LIVING LLC,8036 Delaware Ave,null,Jacksonville,FL,32208
7200,Select Physical Therapy - North Palm Beach,2501-B Burns Rd,null,Palm Beach Gardens,FL,33410
7204,"Susan J Christiansen Ph.D., LMFT - Marriage and Family Therapist",1555 Palm Beach Lakes Blvd,null,West Palm Beach,FL,33401
7210,Premier Pediatric Therapy,1080 E Indiantown Rd,null,Jupiter,FL,33477
7219,Select Physical Therapy - Royal Palm Beach,1011 N State Rd 7 A,null,Royal Palm Beach,FL,33411
7286,"Re-Written Counseling Services, LLC - Port Saint Lucie",10570 S U.s. Hwy 1,null,Port St. Lucie,FL,34952
7297,Amen Clinics,200 S Park Rd,null,Hollywood,FL,33021
7298,Light Chiropractic Care,2500 Hollywood Blvd,null,Hollywood,FL,33020
7305,Luminescence Counseling,465 Se Riverside Dr,null,Stuart,FL,34994
7314,Select Physical Therapy - Sebastian,1424 U.s. Rte 1,Suite,Sebastian,FL,32958
7322,Elite Health and Wellness Center & Concierge Primary Care,8980 S U.s. Hwy 1,Suite,Port St. Lucie,FL,34952
7328,PM Pediatric Urgent Care (Formerly Night Lite Pediatrics) - Port St. Lucie,131 Sw Port St Lucie Blvd,null,Port St. Lucie,FL,34984
7329,Family Enrichment Center,5407 N 30th St,null,Tampa,FL,33610
7330,Guardians For New Futures Inc,8561 Commerce Centre Dr,null,Port St. Lucie,FL,34986
7331,Select Physical Therapy - Port St Lucie,156 Nw California Blvd,null,Port St. Lucie,FL,34986
7333,Pediatric Associates St. Lucie North,555 Nw Lake Whitney Pl,null,Port St. Lucie,FL,34986
7334,KIDZ Pediatric Multispecialty Practice Port St. Lucie,10521 Sw Village Center Dr,null,Port St. Lucie,FL,34987
7347,Hands On Therapy Services,7902 Nw 36th St,null,Miami,FL,33166
7360,FISIOCORP MIAMI LLC,1440 79th St Causeway,null,North Bay Village,FL,33141
7363,Unpolished Parenthood,7860 Peters Rd,Suite,Plantation,FL,33324
7365,Florida Elks Children's Therapy,24175 Se Hwy 450,null,Umatilla,FL,32784
7368,Family Care Center Therapy & Psychiatry - Westshore,4300 W Cypress St,null,Tampa,FL,33607
7374,Select Physical Therapy - South Tampa,609 S Howard Ave,Suite,Tampa,FL,33606
7377,Select Physical Therapy - Northdale,3820 Northdale Blvd,Suite,Tampa,FL,33624
7379,Lama Pediatric Therapy,1315 W Fletcher Ave,null,Tampa,FL,33612
7382,"Dr. Kristin Edwards, Tampa Pediatric Psychology",205 S Hoover Blvd,null,Tampa,FL,33609
7384,"Positive Family Partners, Inc",7402 North 56th St,null,Tampa,FL,33612
7399,McNulty Counseling and Wellness,106 S Tampania Ave,null,Tampa,FL,33609
7400,BoardPrep Recovery,2522 W Kennedy Blvd,null,Tampa,FL,33609
7404,Outpatient Rehabilitation at TGH Medical Village,2333 W Hillsborough Ave,null,Tampa,FL,33603
7406,Embracing Life Wellness Center - South Tampa TMS - Dr. Melissa Fickey,3333 W Kennedy Blvd,null,Tampa,FL,33609
7418,Competitive Edge Physical Therapy,3105 W Bay To Bay Blvd,null,Tampa,FL,33629
7420,Select Physical Therapy - St Joes,4809 N Armenia Ave,null,Tampa,FL,33603
7427,Select Physical Therapy - Tampa- Fowler Avenue,2764 E Fowler Ave,null,Tampa,FL,33612
7432,Select Physical Therapy - New Tampa,19651 Bruce B Downs Blvd D2,null,Tampa,FL,33647
7435,Integrative Physical Therapy Jacksonville,9010 R G Skinner Pkwy,Suite,Jacksonville,FL,32256
7436,Adult and Pediatric Institute,1002 Se Monterey Commons Blvd,Suite,Stuart,FL,34996
7439,Compassion Behavioral Health -Addiction Treatment Center-,1 Oakwood Blvd,null,Hollywood,FL,33020
7441,Tallahassee Orthopedic Clinic Physical Therapy,3334 Capital Medical Blvd,null,Tallahassee,FL,32308
7443,"Auto Accident Chiropractor Tallahassee, Dr. Pragle",300 W Pensacola St,null,Tallahassee,FL,32301
7450,Patients First - Lake Ella,1690 N Monroe St,null,Tallahassee,FL,32303
7456,"Pragle Chiropractic, Accident And Injury Clinic Tallahassee",227 N Bronough St,null,Tallahassee,FL,32301
7459,Behavior Management Consultants - 4820 Kerry Forest Pkwy,4820 Kerry Forest Pkwy,null,Tallahassee,FL,32309
7462,University Physical Medicine,1224 Ocala Rd,null,Tallahassee,FL,32304
7468,TOC Now,2605 Welaunee Blvd,null,Tallahassee,FL,32308
7483,"BFITT Athletic Training & Fitness Institute, Inc.",1140 Capital Cir Se,null,Tallahassee,FL,32301
7496,The Palm Beach Institute,314 10th St,null,West Palm Beach,FL,33401
7498,Lake Gibson Village Health and Rehabilitation Center,855 Carpenters Way,null,Lakeland,FL,33809
7499,Ultra Cryo & Recovery Lakeland,615 Mid-Florida Dr,Suite,Lakeland,FL,33813
7506,Select Physical Therapy - Winter Haven,1499 6th St Nw,null,Winter Haven,FL,33881
7512,Select Physical Therapy - Lakeland South,3900 Florida Ave S,null,Lakeland,FL,33813
7518,Hess Spinal & Medical Centers - Lakeland,1519 Lakeland Hills Blvd,null,Lakeland,FL,33805
7519,Select Physical Therapy - Lakeland North,3037 Lakeland Hills Blvd,null,Lakeland,FL,33805
7522,Apex Health and Wellness,5110 Florida Ave S,null,Lakeland,FL,33813
7523,Holistic Quarters of Lakeland,231 N Kentucky Ave,null,Lakeland,FL,33801
7524,Chiropractic Center of Lakeland,2390 Griffin Rd,null,Lakeland,FL,33810
7525,Integrity Prosthetics & Orthotics,2606 Lakeland Hills Blvd,null,Lakeland,FL,33805
7532,Amethyst Recovery Center,2749 Sw Port St Lucie Blvd,null,Port St. Lucie,FL,34953
7535,Wolfson Children's Hospital,800 Prudential Dr,null,Jacksonville,FL,32207
7542,"Puzzle Peace Counseling, LLC",13500 Sutton Park Dr S,Suite,Jacksonville,FL,32224
7556,Sobe Health Center,16585 Nw 2nd Ave,Suite,Miami Gardens,FL,33169
7560,Fresh Start Speech Therapy,9957 Moorings Dr,Suite,Jacksonville,FL,32257
7569,Select Physical Therapy - Northside,2255 Dunn Ave,null,Jacksonville,FL,32218
7573,Therapeutic Learning Center,2109 Arc Dr,null,St. Augustine,FL,32084
7579,Select Physical Therapy - Baymeadows - Southside,8101 Southside Blvd,Suite,Jacksonville,FL,32256
7580,Physical Healthcare of Jacksonville,12620-6,null,Jacksonville,FL,32246
7584,Select Physical Therapy - Coral Springs - The Walk,2804 N University Dr,null,Coral Springs,FL,33065
7592,Joe DiMaggio Children’s Hospital,1005 Joe Dimaggio Dr,null,Hollywood,FL,33021
7595,MD Now Urgent Care - West Pembroke Pines,16040 Pines Blvd P103,null,Pembroke Pines,FL,33027
7601,Coral Springs Disc Center,9660 W Sample Rd,Suite,Coral Springs,FL,33065
7602,Holy Cross Health Inpatient Rehabilitation,Sixth,Fl,Fort Lauderdale,FL,33308
7604,Total Mental Wellness - Integrative Psychiatry - Fort Lauderdale,The Cumberland,Building,Fort Lauderdale,FL,33301
7605,Garellek Counseling,4651 Sheridan St,Suite,Hollywood,FL,33021
7610,Florida Spine & Pain Center,2 Oakwood Blvd,null,Hollywood,FL,33020
7613,PM Pediatric Urgent Care,14924 Pines Blvd,Suite,Pembroke Pines,FL,33027
7615,Dr. Pamela Silver - Psychologist,1000 N Hiatus Rd,null,Hollywood,FL,33026
7616,"Berkower Pain & Spine Rehabilitation: David Berkower, DO",1 Sw 129th Ave,Suite,Pembroke Pines,FL,33027
7618,Select Physical Therapy - West Pembroke Pines,17796 Sw 2nd St,null,Pembroke Pines,FL,33029
7620,Select Physical Therapy - East Pembroke Pines,454 N University Dr,null,Hollywood,FL,33024
7622,Alignment Physical Therapy,1920 E Hallandale Beach Blvd,Suite,Hallandale Beach,FL,33009
7623,Select Physical Therapy - Hallandale Beach,1731 E Hallandale Beach Blvd,null,Hallandale Beach,FL,33009
7630,The Genius Kids Academy,111 Ne 3rd St,null,Hallandale Beach,FL,33009
7631,Kids Miracle Steps PPEC,1371 N Palm Ave,null,Hollywood,FL,33024
7635,Esencia Therapy & Wellness Center,7310 W Mcnab Rd,null,Tamarac,FL,33321
7637,Memorial Hospital Miramar,1901 Sw 172nd Ave,null,Pembroke Pines,FL,33029
7640,Holy Cross Rehabilitation Institute- Pelvic Floor Rehabilitation,1000 Ne 56th St,null,Oakland Park,FL,33334
7650,Center for Psychological Growth and Wellness,7820 Peters Rd,Suite,Plantation,FL,33324
7652,Quality in home therapy,Nw 61st St,null,Parkland,FL,33067
7653,Challenges Conquered Counseling Services,800 E Cypress Creek Rd,null,Oakland Park,FL,33334
7657,Apolo Wellness Center,12064 Miramar Pkwy,null,Miramar,FL,33025
7661,Select Physical Therapy - Tamarac,7160 N University Dr,null,Tamarac,FL,33321
7662,On The Hop,7171 N University Dr,null,Tamarac,FL,33321
7667,Family Therapy Group of Weston,1200 Weston Rd 3rd,Floor,Weston,FL,33326
