id,name,address1,address2,city,state,zip_code,phone,category
7098,"Hancock-Smith Pediatric & Behavioral Health, LLC",13900 Tech City Cir,null,Alachua,FL,32615,(386) 518-6006,healthcare
5832,NEW CREATION HOMES AND SERVICES,5310 Nw 234th Ave,null,Alachua,FL,32615,(352) 317-1550,healthcare
6066,UNIQUE CARING OPPORTUNITIES INC.,15604 Nw 140th St,null,Alachua,FL,32615,(352) 231-0114,healthcare
6390,ANGELIC COMPANION SERVICES,498 Palm Springs Dr,Suite,Altamonte Springs,FL,32701,(407) 747-3073,healthcare
9377,"Can Do Therapies, Inc",112 W Citrus St,null,Altamonte Springs,FL,32714,(407) 865-5642,healthcare
9505,"Dr. Daniel Komforti, PT, DPT",860 N State Rd 434,null,Altamonte Springs,FL,32714,(646) 753-3106,healthcare
8885,NDS & MORE LLC,350 Notre Dame Dr,null,Altamonte Springs,FL,32714,(252) 679-6115,healthcare
9643,Orlando Sports Medicine - Altamonte Springs,745 Orienta Ave,null,Altamonte Springs,FL,32701,(407) 332-7816,healthcare
8919,RAINBOW GROUP HOME INC,1288 Cardinal Ct,null,Altamonte Springs,FL,32714,(321) 303-6126,healthcare
9304,"The Neuro Hub, LLC.",999 Douglas Ave,null,Altamonte Springs,FL,32714,(407) 900-1818,healthcare
6085,"LEOTAUD JOAN W
BERYL'S PLACE, INC",2777 Spice Bush Loop,null,Apoka,FL,32712,(407) 429-4994,healthcare
6509,AMORE AT HOME LLC,6217 Colmar Pl,null,Apollo Beach,FL,33572,(727) 565-3018,healthcare
9351,Apollo Beach Therapy Center,6520 Richies Way,null,Apollo Beach,FL,33572,(813) 252-1608,healthcare
10349,COASTAL CARE RESIDENCE LLC,235 Apollo Beach Blvd,Suite,Apollo Beach,FL,33572,(727) 417-1723,healthcare
6234,LIGHT OF VISION CARE SERVICE LOV LLC,6207 Colmar Pl,null,Apollo Beach,FL,33572,(813) 317-0668,healthcare
8692,"PERSON TO PERSON CARE CENTER, LLC",6309 Florida Cir E,null,Apollo Beach,FL,33572,(813) 545-7779,healthcare
9401,"Talk the Talk Pediatric Therapy, LLC",300 Frandorson Cir,null,Apollo Beach,FL,33572,(813) 445-3999,healthcare
8463,A LOVING PLACE LLC,3871 Yothers Rd,null,Apopka,FL,32712,(321) 217-5746,healthcare
6048,BLESSING HEART GROUP HOME LLC,8 E Summit St,null,Apopka,FL,32712,(407) 970-7592,healthcare
6112,HELPING HANDS OF HANES CITY INC,1148 Foxforrest Cir,null,Apopka,FL,32712,(646) 353-0485,healthcare
9394,"SpeechBuilders, LLC",235 E 5th St,null,Apopka,FL,32703,407-703-2711,healthcare
8921,"SUNSHINE CARE SUPPORT SERVICES, INC",3669 Pelock Dr,null,Apopka,FL,32703,(321) 594-9656,healthcare
6080,SUPERPOWER INDEPENDENT LIVING INC,346 Willet Ave,null,Apopka,FL,32703,(407) 308-8617,healthcare
6127,"TEQUESTA DUKES
DEVOTED HOME CARE AND SUPPORT SERVICES",1132 Osprey Way,null,Apopka,FL,32712,(407) 692-5471,healthcare
6282,ASSOCIATION FOR RETARDED CITIZENS,4173 Ne Hwy 17,null,Arcadia,FL,34266,(863) 494-2328,healthcare
9358,Bloom Behavioral Solutions,997 Atlantic Blvd,null,Atlantic Beach,FL,32233,(904) 647-1849,healthcare
8738,DESIRABLE MEASURES LLC,1185 Mattie Pointe Blvd,null,Auburndale,FL,33823,(863) 617-3689,healthcare
6281,"RIDGE AREA ARC, INC.",4352 Independence St,null,Avon Park,FL,33825,(863) 452-1295,healthcare
10161,Horizons Pediatric Center PPEC - B2,215 Imperial Blvd,Suite,B2,FL,33803,(863) 937-3934,healthcare
9075,ENDLESS ABILITIES FOR CHILDREN WITH DISABILITIES,190 S Lb Brown Ave,null,Bartow,FL,33830,(863) 205-1624,healthcare
6056,"JONATHAN TUMAN, DDS,PA",1111 Kane Concourse,Suite,Bay Harbor Islands,FL,33154,(305) 865-7166,healthcare
6331,LOVES RESTORATION CENTER LLC,33 W Ave A,null,Belle Glade,FL,33430,(000) 000-0000,healthcare
6456,"THE ARC OF THE GLADES, INC.",4250 N.w. 16th St,null,Belle Glade,FL,33430,(561) 996-9583,healthcare
8928,THIS IS YOUR HOME SERVICES LLC,2581 W Apricot Dr,null,Beverly Hills,FL,34465,(352) 257-3079,healthcare
8786,A & K CARE TRANSPORTATION INC,3200 N Federal Hwy,Suite,Boca Raton,FL,33431,(954) 635-5156,healthcare
6088,ANGEL LIGHT CARE AND TRANSPORTATION,9275 Sw 1st Pl,null,Boca Raton,FL,33428,(561) 403-8660,healthcare
