id,name,place_id,rating,user_ratings_total,website,phone,types,status
7098,"Hancock-Smith Pediatric & Behavioral Health, LLC",ChIJ60KSfxqx6IgRUrW1GKBPolc,3.7,3,http://hancocksmithpediatrics.com/,(386) 518-6006,"health,point_of_interest,establishment",success
5832,NEW CREATION HOMES AND SERVICES,ChIJxS7eoR6k6IgRwMdbtvqqFBI,5,1,,,"church,place_of_worship,point_of_interest,establishment",success
6066,UNIQUE CARING OPPORTUNITIES INC.,ChIJI9QubSO36IgRVgBgYPRxnIE,,,https://www.ucopportunities.com/,(386) 418-0103,"health,point_of_interest,establishment",success
6390,ANGELIC COMPANION SERVICES,,,,,,,not_found
9377,"Can Do Therapies, Inc",ChIJaW4JSUxx54gRViDYcyE0TNY,4.6,24,http://www.candotherapies.com/,(407) 865-5642,"health,point_of_interest,establishment",success
9505,"Dr. Daniel Komforti, PT, DPT",ChIJL0rIBJtmvKMR14kU2KUP6KI,5,299,https://www.corevaluesptorlando.com/,(646) 753-3106,"health,point_of_interest,establishment",success
8885,NDS & MORE LLC,ChIJZfQtBZZ554gRxIECBwLxI0I,5,2,,(407) 291-8008,"general_contractor,point_of_interest,establishment",success
9643,Orlando Sports Medicine - Altamonte Springs,ChIJ4w_TCJNx54gR1galZmnPLAQ,5,163,https://www.orlandosportsmedicine.com/,(407) 332-7816,"physiotherapist,health,point_of_interest,establishment",success
8919,RAINBOW GROUP HOME INC,ChIJ01MTTcNId4IRM9sEdWUsZck,3.7,3,,(888) 243-4217,"point_of_interest,establishment",success
9304,"The Neuro Hub, LLC.",ChIJE3Vrls1z54gROIJbL2RnstE,4.9,25,http://theneurohub.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10859946072003835562,(407) 900-1818,"point_of_interest,health,establishment",success
6085,"LEOTAUD JOAN W
BERYL'S PLACE, INC",,,,,,,not_found
6509,AMORE AT HOME LLC,,,,,,,not_found
9351,Apollo Beach Therapy Center,ChIJE8FlL3LZwogR2G2o_H7tpNE,5,9,https://www.apollobeachtherapycenter.com/,(813) 252-1608,"health,point_of_interest,establishment",success
10349,COASTAL CARE RESIDENCE LLC,ChIJ6zWe4g4Ww4gRSZeEikmHHGo,3.7,3,http://www.mycoastalcare.com/,(941) 365-5079,"hospital,health,point_of_interest,establishment",success
6234,LIGHT OF VISION CARE SERVICE LOV LLC,,,,,,,not_found
8692,"PERSON TO PERSON CARE CENTER, LLC",ChIJ6_EprkuxwogRNugYCZoTZIg,,,http://personcenteredcareeducation.com/,(813) 760-6063,"point_of_interest,establishment",success
9401,"Talk the Talk Pediatric Therapy, LLC",ChIJw9Xj5hZCdmcRx1PWWthOd_E,5,14,https://www.tttpediatrictherapy.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12634038434977738604,(813) 445-3999,"health,point_of_interest,establishment",success
8463,A LOVING PLACE LLC,ChIJzbFIi2Fl54gR2qh7C22fKMo,5,3,,(954) 663-2760,"point_of_interest,health,establishment",success
6048,BLESSING HEART GROUP HOME LLC,ChIJ01MTTcNId4IRM9sEdWUsZck,3.7,3,,(888) 243-4217,"point_of_interest,establishment",success
6112,HELPING HANDS OF HANES CITY INC,ChIJFd5gis1y54gREqkcg5A3jOA,3,22,http://hhlawncare.org/,(352) 404-4601,"general_contractor,point_of_interest,establishment",success
9394,"SpeechBuilders, LLC",ChIJVVVVVQll54gRpuyUN46Sn0w,4.7,58,https://www.speechbuilders.org/,,"health,point_of_interest,establishment",success
8921,"SUNSHINE CARE SUPPORT SERVICES, INC",,,,,,,not_found
6080,SUPERPOWER INDEPENDENT LIVING INC,ChIJjzFForV354gRTnCqTkQI3yU,4.8,4,http://www.striveseniorliving.com/,(407) 745-5887,"health,point_of_interest,establishment",success
6127,"TEQUESTA DUKES
DEVOTED HOME CARE AND SUPPORT SERVICES",ChIJ51rzjcDDwogRtJrA39bloek,3.3,14,http://donnasdevotedcare.com/,(813) 915-5006,"health,point_of_interest,establishment",success
6282,ASSOCIATION FOR RETARDED CITIZENS,ChIJn5a60lSW3IgR8zDvAO07JyI,5,3,https://www.arcdesoto.org/,(863) 494-2328,"point_of_interest,establishment",success
9358,Bloom Behavioral Solutions,ChIJf1MPruNJ5IgRUDQyxrRZZys,4.5,24,https://www.jaxbloom.com/,(904) 647-1849,"health,point_of_interest,establishment",success
8738,DESIRABLE MEASURES LLC,ChIJlW9V8FNr3YgRidfoYq8Uht0,3.8,185,http://www.doctortodaytlc.com/,(863) 858-8000,"pharmacy,health,point_of_interest,store,establishment",success
6281,"RIDGE AREA ARC, INC.",ChIJbezeqOBV3IgR-ukUdN9z7hc,4,4,,(863) 452-1295,"school,point_of_interest,establishment",success
10161,Horizons Pediatric Center PPEC - B2,ChIJfd58_Kw53YgRELMxPBzeHX8,5,8,http://horizonspediatriccenter.com/,(863) 937-3934,"health,point_of_interest,establishment",success
9075,ENDLESS ABILITIES FOR CHILDREN WITH DISABILITIES,ChIJP6NSJb0X3YgRJHGAWAzrafo,,,https://www.ea4cd.org/contact,(863) 205-1624,"point_of_interest,establishment",success
6056,"JONATHAN TUMAN, DDS,PA",ChIJCfsHRpuy2YgREFUqt01lcYA,4.3,18,http://bayharborcompletedentistry.com/,(305) 865-7166,"dentist,point_of_interest,health,establishment",success
6331,LOVES RESTORATION CENTER LLC,ChIJA7ECpSbPwogRCjRva6SkOHI,5,5,http://loverestorationcc.org/,(813) 843-8754,"point_of_interest,establishment",success
6456,"THE ARC OF THE GLADES, INC.",ChIJZ_SmjP1Q2YgR6nP_IvRt4Kw,5,3,https://arcglades.org/,(561) 996-9583,"point_of_interest,establishment",success
8928,THIS IS YOUR HOME SERVICES LLC,ChIJAZZSO0Ry6IgRhmYbFhxfjoI,4,4,,(352) 302-4308,"general_contractor,point_of_interest,establishment",success
8786,A & K CARE TRANSPORTATION INC,ChIJXX4fvGx954gRaLBnX2j3Wdc,1,3,,,"point_of_interest,establishment",success
6088,ANGEL LIGHT CARE AND TRANSPORTATION,,,,,,,not_found
7177,AnneRose Therapy & Health Services LLC,ChIJ32FgEace2YgRt_TLwpxDd5Y,5,18,http://www.annerose-otcare.com/,(561) 409-4490,"physiotherapist,point_of_interest,health,establishment",success
9182,Blossom Speech & Language Therapy- Boca Raton,ChIJG-MI0w0F2YgRnCvz9NI5Kd8,5,82,http://blossomspeechlanguage.com/,(561) 270-4433,"health,point_of_interest,establishment",success
9380,Expressions 4 Kids,ChIJoabsWkPj2IgRC041-GL3RfM,5,109,https://www.expressions4kids.com/,(561) 571-5287,"point_of_interest,health,establishment",success
10167,"F.I.T. PT, Florida In-Home Therapy",ChIJe-sM_njf2IgR5quqS006h6Y,5,95,http://www.ksfitpt.com/,(561) 501-1983,"physiotherapist,health,point_of_interest,establishment",success
9652,FUNctional Pediatric Therapy,ChIJH82tGJAM6AYRAuPNpndODEk,5,19,https://funpt4kids.com/,(561) 206-4166,"physiotherapist,health,point_of_interest,establishment",success
