id,name,status,place_id,rating,user_ratings_total,website,phone,error
5760,Little Tesla Pediatric Therapy - 6000 Turkey Lake Rd,success,ChIJ6-cx35J_54gRMBmyop-qCIU,,,https://littleteslapediatrics.com/,(321) 732-3723,
5761,"PPH FL-SUNCOAST, LLC
PARK HOME CARE",success,ChIJdevIkXP7wogR5Sh5zBWAkzE,5,1,,(727) 229-0107,
5762,REHABILITATION OF SOUTH FLORIDA INC,success,ChIJkyZDnEq_2YgRafbc3Ld7TpQ,4.8,38,http://www.rosfi.com/,(305) 226-7718,
5763,HOMED CARE INC,success,ChIJUZiXJQC72YgR7WuipoG1S7Y,,,,(305) 769-3332,
5764,Aries Physical Therapy - Weston,success,ChIJVcTqtNyn2YgRCOlDNbsfMSM,5,159,http://ariesphysicaltherapy.com/,(954) 233-0745,
5765,Centrum Health,success,ChIJRRurSzGl2YgRncU2M8Zsz9o,4.7,245,https://www.centrumhealth.com/,(305) 571-6292,
5766,E&R HEALTH CARE INC.,success,ChIJ04wD_YO_2YgRA6TEFzd_Ojo,4.4,7,http://www.erhealthcare.org/,(305) 468-9544,
5767,LAPOINTE MICHEL C,success,ChIJK21HMdsR3ogRBOL6yX7_l2A,5,21,,(321) 951-1360,
5768,"HILTON ROC-ROZA O
ROC-ROZA O. HILTON SERVICES",success,ChIJ1ZNiLOdz54gRegcWvu4WiJ8,4.2,2294,https://www.hilton.com/en/hotels/altahhf-hilton-orlando-altamonte-springs/?SEO_id=GMB-AMER-HH-ALTAHHF&y_source=1_MTIyMDg3Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(407) 830-1985,
5769,"HELPING HEART,LLC",success,ChIJZdoKvJ3HwogR2BfHVAhrHHI,4.9,28,http://www.helpingheartllc.com/,(813) 900-7479,
5770,"MCCLAIN, INC.",success,ChIJAQDQGm_BwogRvVObXRguDas,,,https://mcclain-inc.org/contact,(813) 930-0088,
5771,"LEON ADVOCACY AND RESOURCE CTR,INC",success,ChIJlav4XfXz7IgRFGc9FCN9suA,4,3,https://www.leonarc.com/,(850) 422-0355,
5772,"LILLIES HOUSE OF JOY, LLC",success,ChIJr_22p_Qf3IgRrzocNcXF7sQ,4.9,94,https://lilliesandlaceboutique.com/,(863) 623-5786,
5773,"LATRELL D GASKIN
LATRELL'S HEAVENLY HOME CARE",success,ChIJubhbmga35YgR1hT1c8WCeZQ,,,https://heavenlyhomecare.org/,(904) 453-8129,
5774,"MCCRAY MEDICAL CARE LLC
MCCRAY HOME CARE",success,ChIJzYGsCTS35YgRtpfMy_Y8ttQ,2,13,https://ufhealthjax.org/patients-and-visitors/support-services-and-groups/home-care,(904) 244-9900,
5775,CHANGING HANDS HOME CARE,not_found,,,,,,
5776,"FOREVER CHANGING LIVES LLC
TIFFANY ANGELA HALL",success,ChIJPVrIcNDA5YgRmbaTRwOSIew,,,,,
5777,BUSH BRIANNA N,success,ChIJqYh2OW3H5YgRe_CKYFy0CMc,,,,,
5778,MAJOR HOMECARE SERVICES LLC,success,ChIJB0_VsFi25YgRM5y7dFtQcC0,5,1,https://meganurse.com/service-areas/jacksonville/,(904) 675-3947,
5779,HEART OF JOY LLC,success,ChIJO6kyqnuQdkcRHBU0eBn0GSE,4.6,1989,http://www.heartofjoy.at/,0662 890773,
5780,"LOVING SUPPORT MED-WAIVER PROVIDER, INC.",success,ChIJlQBoUURK5IgRqbpqcm5CCEY,4.3,9,,(904) 992-2433,
5790,Physical Therapy Services - Miami - 8390 W Flagler St,success,ChIJL5QWKwO52YgR5Kd0IW65HS0,4.9,63,http://www.physicaltherapyforyou.com/,(305) 221-1685,
5792,BRYAN MEYERS COMM SUPPORTS AND SERV,success,ChIJhe1xZbqNwogRoZN8VuoIFp4,,,,,
5793,LIFE OF PURPOSE INC,success,ChIJNV9nTVvFwogRTVpIpJRunR0,,,http://lifeofpurposeinc.com/,(813) 563-8665,
5795,"ACOSTA LISETTE
ACOSTA CARE HOME INC.",success,ChIJL_qz3vDBwogRXSFfSh6vOC4,5,1,,,
5796,"NORTH STAR CARE, LLC",success,ChIJzeYlZXhkZIgR-5C30gE3PT8,,,http://nstarcare.com/,(615) 410-0746,
5798,Little Star PPEC,success,ChIJGwQ0JY2v2YgRUXtmUARbb_k,5,22,https://littlestarppec.com/,(786) 523-4973,
5799,SISTERS HOME CARE SERVICES INC,not_found,,,,,,
5800,TAMPA BAY COMMUNITY SERVICES INC,success,ChIJgSxisLj_aBQR57Rb10xV-yg,4.5,2,http://www.communitytampabay.org/,(727) 568-9333,
5801,NEXT STEPS LEARNING LLC,success,ChIJNTmRACJl54gR0fKA2Zb2yko,5,6,http://nextstepsorlando.com/,(407) 681-8111,
5803,POSITIVE BEHAVIOR SUPPORTS CORP,success,ChIJmSiFMQTd3ogR6Yc2Xo1Cz8s,3.7,28,https://www.teampbs.com/aba_therapy.aspx?Region=FL&RegionName=Treasure%20Coast,(772) 349-6317,
5804,REID TRAINING CENTER,success,ChIJechGCg4U3YgR92mtKnKVAQk,,,,(863) 297-5241,
5805,"SUPPORT SOLUTIONS, INC",success,ChIJn9FTrN9Z3IgRY3UjcJmYHXc,5,1,http://supportsolutions.org/,(863) 314-6319,
5806,PREFERRED COMFORT HOME CARE,success,ChIJTVii4Duj54gRaPJ3JNVjWIM,5,3,http://www.myphpp.com/,(352) 589-5854,
5807,LEE'S LOVE AND CARE LLC,success,ChIJu7_Ets235YgRNpm7nIxoL74,,,,(904) 859-5792,
5808,Quest Kids Therapy - Tampa - 3910 Us-301,success,ChIJ__8_jznPwogR_npd_mELfUk,,,https://questinc.org/contact/,(813) 423-7700,
5809,GRACEFUL HOMES LLC,success,ChIJwXv_G3hB24gR_fizjYoNw64,,,,,
5812,early childhood council of hillsborough county,success,ChIJowLp59TcwogRXaiH4TrHZ2E,,,https://ecctampabay.org/,,
5813,MCCALL CARES COMPANIONSHIP LLC,success,ChIJ1VUFOLfHwogRNCPhNBH6vyM,4.6,11,http://mcaresship.com/,(813) 683-1709,
5814,Memorial Rehabilitation Institute,success,ChIJU0WNoW-m2YgReI3BttbpI2w,4.7,23,https://www.mhs.net/services/rehabilitation?st-t=google-&vt-k=%2Bmemorial%20%2Brehab&vt-n=google+search&_st_custom_id=1044-1-S-729918231&_st_custom_value=Branding&vt-d=m&gclid=CjwKCAjwgISIBhBfEiwALE19Sfy54kTRyukMovw5Z4Ozxqi0lFF7apsrbLq5kCDq81CmYb14QrvSeRoCkkwQAvD_BwE,(954) 844-7180,
