ProviderName,Website_final,Crawl_Status,Pages_Crawled,Matched_Categories,HomeAccess,RespiteCare,ABA,OT,PT,Speech,LifeSkills,Employment,Residential,HomeAccess_Excerpt,RespiteCare_Excerpt,ABA_Excerpt,OT_Excerpt,PT_Excerpt,Speech_Excerpt,LifeSkills_Excerpt,Employment_Excerpt,Residential_Excerpt,Domain,Address1,City,State,Zip,phone
Connecting Hearts in Florida ADT,https://www.connectingheartsfl.com/,Success,https://www.connectingheartsfl.com/;https://connectingheartsfl.com/services-for-adults-with-developmental-disabilities-in-broward-county;https://connectingheartsfl.com/services-for-adults-with-developmental-disabilities-in-broward-county/;https://connectingheartsfl.com;https://connectingheartsfl.com/about-us,LifeSkills,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,"sionate Care At Connecting Hearts in Florida ADT, we provide personalized care, life skills training, and enriching social activities for adults with developmental disabil",,,connectingheartsfl.com,6899 Stirling Rd,Davie,FL,33314,(954) 999-5989
Little Talkers Speech Therapy,http://mylittletalkers.com/,Success,http://mylittletalkers.com/;https://www.mylittletalkers.com/services-4;https://www.mylittletalkers.com;https://www.mylittletalkers.com/about-us;https://www.mylittletalkers.com/faq,"HomeAccess,Speech",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"page Frequently Asked Questions ​ ​ Where do sessions take place? I am to offer in-home or on-site sessions for families residing within driving distance of Deal, Eato",,,,,Pediatric Speech Therapy | Little Talkers top of page Private Speech Therapy Services for Children & Fa,,,,mylittletalkers.com,131 NE 1st Ave,Hallandale Beach,FL,33009,(954) 993-2995
"The Foundation for Independent Living, Inc.",http://filinc.org/,Success,http://filinc.org/;https://filinc.org/services/residential-services/enrichment-programming/;https://filinc.org/services/residential-services/enrichment-programming/activities/;http://filinc.org/services/residential-services/enrichment-programming/activities/;https://filinc.org/services/residential-services/enrichment-programming/activities/event-calendar/,"HomeAccess,OT,PT,LifeSkills,Employment,Residential",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"e career began humbly as a volunteer at food drives, progressing to roles as an in-home caregiver, travel companion, and Activity Director in an Assisted Living facili",,,"ir journey there. × Kiwi Matthews, Independent Living Coach Kiwi Matthews is an Occupational Therapy graduate of 2024 with over 14 years of experience in the medical field. She ha",ommunity. Roy and his wife Margrey both have a medical background. Margrey is a physical therapist with a master’s degree in special education. Roy has been a general dentist ,,n 1985 by parents Co-ed program Age range 18+ Modern apartment living Continual life skills trainings Offered to adults 70-90 IQ level Optional daily meal program Communit,"rogram or our non-residential day services. From personalized life coaching and vocational training to wellness activities and community events, every aspect of FIL upholds dignit",esidents live. Betty began her introduction to mental health when she managed a group home for eight residents with moderate to severe disabilities while studying Law Enf,filinc.org,1367 Lyons Rd,Coconut Creek,FL,33063,(954) 968-6472
Devereux Therapeutic Foster Care Dade,http://www.devereux.org/site/PageServer?pagename=fl_fostercare_programs,Success,http://www.devereux.org/site/PageServer?pagename=fl_fostercare_programs;http://jobs.devereux.org/jobs/?location=Florida;http://www.devereux.org;http://www.devereux.org/site/PageServer?pagename=fl_fostercare_programs#main-content;http://www.devereux.org/site/PageServer?pagename=fl_contactus,"HomeAccess,ABA,Residential",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"fe, welcoming and home-like therapeutic environments within serene and tropical community-based settings. Celebrating National Disability Employment Awareness Month October is",,abilities an opportunity to reside in a family home environment with supportive Applied Behavior Analysis services rather than in residential treatment or group homes. Safe Fos,,,,,, Mobile Crisis Services Outpatient Psychiatric Services Specialized Therapeutic Group Home Statewide Inpatient Psychiatric Program Targeted Case Management The Devereux S,devereux.org,5850 T G Lee Blvd #400,Orlando,FL,32822,(407) 362-9210
"Dr. Lisa Grossman, Ed.D., CCC-SLP",http://www.drlisagrossman.com/,Failed (empty/JS-only),,,,,,,,,,,,,,,,,,,,,drlisagrossman.com,8267 NW 107th Ln,Parkland,FL,33076,(954) 960-6086
Nexo ABA Therapy,https://nexoaba.com/?utm_source=gmb&utm_medium=organic&utm_campaign=website_clicks,Success,https://nexoaba.com/?utm_source=gmb&utm_medium=organic&utm_campaign=website_clicks;https://nexoaba.com/services/autism-behavior-therapy/aba-therapy-miami/;https://nexoaba.com/services/autism-behavior-therapy/aba-therapy-broward/;https://nexoaba.com/services/autism-behavior-therapy/;https://nexoaba.com/services/,"HomeAccess,ABA,LifeSkills",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"them navigate everyday challenges with confidence. Nexo ABA Therapy offers both in-home and school-based sessions, ensuring that your family gets the support it needs,",,ABA Providers | Serving Miami & Broward | Nexo ABA Therapy Skip to main content Ski,,,,"t it needs, wherever it’s most effective for your child. From teaching critical life skills to improving social interaction, our programs are designed to meet the needs of",,,nexoaba.com,450 N Park Rd,Hollywood,FL,33021,(954) 932-6051
You & Us aba service,http://abaunus.com/,Success,http://abaunus.com/;https://abaunus.com/our-services-2/;https://abaunus.com/what-is-aba-2/;https://abaunus.com/what-is-aba/;https://abaunus.com/,"HomeAccess,ABA,LifeSkills",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"rida You and Us ABA Services Transform Daily Routines Into Skill-Building Wins. In-home, at school, in the clinic, or online. Flexible, multilingual care for Florida f",,You & Us ABA | Compassionate ABA Therapy Across Florida You and Us ABA Services Transform Da,,,,"e Applied Behavior Analysis therapy designed to help children develop essential life skills, reduce challenging behaviors, and increase positive behaviors through evidence",,,abaunus.com,2700 NW 62nd St D110,Fort Lauderdale,FL,33309,(954) 909-5953
"Behavioral Health Associates of Broward, Counseling Centers of Goodman JFS",https://www.bhabroward.org/,Success (no matches),https://www.bhabroward.org/;https://www.bhabroward.org/#1;https://www.bhabroward.org/#2;https://www.bhabroward.org/#3;https://www.bhabroward.org/#4,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,bhabroward.org,5890 S Pine Island Rd,Davie,FL,33328,(954) 909-0888
Joshua's Path Disability Services of Goodman JFS,https://www.jfsbroward.org/services/joshuas-path-boost-disability-services/,Success (no matches),https://www.jfsbroward.org/services/joshuas-path-boost-disability-services/;https://www.jfsbroward.org/services/;https://www.jfsbroward.org/services/domestic-abuse/;https://www.jfsbroward.org/services/cupboard/;https://www.jfsbroward.org/services/financial-assistance/,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,jfsbroward.org,5890 S Pine Island Rd,Davie,FL,33328,(954) 909-0829
Brain Balance of Coral Springs,http://www.brainbalancecenters.com/locations/coral-springs/,Success (no matches),http://www.brainbalancecenters.com/locations/coral-springs/;https://www.brainbalancecenters.com/our-program/integrated-approach/sensory-motor/;https://www.brainbalancecenters.com/our-program;https://www.brainbalancecenters.com/brain-balance-virtual-program?_ga=2.169270183.789409738.1587393891-308071597.1563320012&_gac=1.190336729.1587399693.CjwKCAjw7e_0BRB7EiwAlH-goOpso_oczgoy2Upv9MhZp8aziCxbgqHela71G930TndG4rIi9irWCRoCDDIQAvD_BwE;https://www.brainbalancecenters.com/growth-and-potential,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,brainbalancecenters.com,8409 N Military Trl,Palm Beach Gardens,FL,33410,(561) 500-0609
