id,created_at,updated_at,name,category,subcategory,description,slug,accommodations,age_groups,programs,address,city,county,state,zip_code,latitude,longitude,phone,normalized_phone,email,website,hours,denomination,sensory_room,alternative_service,children_program,adult_program,accommodation_snippet,accommodation_tags,service_type,rating,user_ratings_total,google_place_id,links,image_url,verified,last_verified_date,featured,accessibility_info,source,search_vector,services,insurances,scholarships,address1,address2,address_original,needs_review,review_reason,address2_needs_manual_review,resource_type,pet_therapy,facebook_url,instagram_url,twitter_url,youtube_url,linkedin_url
9144,2025-11-03 21:44:05.609+00,2025-12-20 06:54:57.883795+00,TRUE COMMUNITY HOPE CENTER,healthcare,ABA Therapy | Transportation,null,true-community-hope-center-gainesville-fl-9144,[],[],[],3712 NW 26TH ST,Gainesville,Alachua,FL,32605,29.686792156338,-82.360410838331,(402) 850-7157,null,null,null,null,null,null,null,null,null,null,null,null,3.3,9,ChIJQ16Yv2al6IgRfpiIZeZE75g,[],null,false,2025-10-12,false,null,FL-DD Database,'alachua':6 'center':4 'communiti':2 'gainesvill':5 'hope':3 'true':1,[],"[""florida-medicaid""]",[],3712 Nw 26th St,null,3712 NW 26TH ST,false,null,null,provider,false,null,null,null,null,null
8734,2025-11-03 21:44:05.063+00,2025-12-20 06:54:57.883795+00,"FIRST TRANSIT INC
BAYWAY TRANSIT",healthcare,ABA Therapy | Transportation,null,first-transit-inc-bayway-transit-panama-city-fl-8734,[],[],[],919 MASSALINA DR,Panama City,Bay,FL,32401,30.166176182086,-85.653528304648,(850) 763-0808,null,null,null,null,null,null,null,null,null,null,null,null,4,211,ChIJlx_X1nGBk4gRIG-7kNrrEQE,[],null,false,2025-10-12,false,null,FL-DD Database,"'bay':8 'bayway':4 'citi':7 'first':1 'inc':3 'panama':6 'transit':2,5",[],"[""florida-medicaid""]",[],919 Massalina Dr,null,919 MASSALINA DR,false,null,null,provider,false,null,null,null,null,null
8628,2025-11-03 21:44:04.931+00,2025-12-20 06:54:57.883795+00,"BRIDGES BTC, INC",healthcare,ABA Therapy | Transportation,null,bridges-btc-inc-rockledge-fl-8628,[],[],[],1694 CEDAR ST.,Rockledge,Brevard,FL,32955,28.328932041538,-80.737881294821,(321) 690-3464,null,null,null,null,null,null,null,null,null,null,null,null,4.2,63,ChIJO0JG-5MB3ogRE8kPAaxSGGM,[],null,false,2025-10-12,false,null,FL-DD Database,'brevard':5 'bridg':1 'btc':2 'inc':3 'rockledg':4,[],"[""florida-medicaid""]",[],1694 Cedar St,null,1694 CEDAR ST.,false,null,null,provider,false,null,null,null,null,null
8918,2025-11-03 21:44:05.365+00,2025-12-20 06:54:57.883795+00,"DONMACAN, INC
PROGRESS HOUSE",healthcare,ABA Therapy | Transportation,null,donmacan-inc-progress-house-palm-bay-fl-8918,[],[],[],1097 SANDY LN NE 1097 SANDY LN NE,Palm Bay,Brevard,FL,32905,28.026594685331,-80.617920061013,(321) 298-4652,null,null,null,null,null,null,null,null,null,null,null,null,4,45,ChIJzwbullwS3ogR98b5vp_Delk,[],null,false,2025-10-12,false,null,FL-DD Database,'bay':6 'brevard':7 'donmacan':1 'hous':4 'inc':2 'palm':5 'progress':3,[],"[""florida-medicaid""]",[],1097 Sandy Ln Ne 1097 Sandy Ln Ne,null,1097 SANDY LN NE 1097 SANDY LN NE,false,null,null,provider,false,null,null,null,null,null
8604,2025-11-03 21:44:04.931+00,2025-12-20 06:54:57.883795+00,EAST FROM WEST LLC,healthcare,ABA Therapy | Transportation,null,east-from-west-llc-palm-bay-fl-8604,[],[],[],1080 GRANDEUR ST SE,Palm Bay,Brevard,FL,32909,27.990776160401,-80.641778684196,(321) 591-0707,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ChIJKYwfY1AN3ogR7edpOe1vMuA,[],null,false,2025-10-12,false,null,FL-DD Database,'bay':6 'brevard':7 'east':1 'llc':4 'palm':5 'west':3,[],"[""florida-medicaid""]",[],1080 Grandeur St Se,null,1080 GRANDEUR ST SE,false,null,null,provider,false,null,null,null,null,null
8652,2025-11-03 21:44:04.931+00,2025-12-20 06:54:57.883795+00,GILLESPIE SERVICES,healthcare,ABA Therapy | Transportation,null,gillespie-services-melbourne-fl-8652,[],[],[],113 E AVENUE D,Melbourne,Brevard,FL,32901,28.103455767155,-80.619493143883,(772) 633-5661,null,null,null,null,null,null,null,null,null,null,null,null,5,3,ChIJSQQuHcUR3ogRozugFmxV718,[],null,false,2025-10-12,false,null,FL-DD Database,'brevard':4 'gillespi':1 'melbourn':3 'servic':2,[],"[""florida-medicaid""]",[],113 E Ave D,null,113 E AVENUE D,false,null,null,provider,false,null,null,null,null,null
8922,2025-11-03 21:44:05.365+00,2025-12-20 06:54:57.883795+00,"INGRAM GREGORY O
TRUVINE COMPANION AND HOMEMAKERS",healthcare,ABA Therapy | Transportation,null,ingram-gregory-o-truvine-companion-and-homemakers-titusville-fl-8922,[],[],[],432 LINCOLN AVE,Titusville,Brevard,FL,32796,28.620008522263,-80.8240656837,(321) 746-2853,null,null,null,null,null,null,null,null,null,null,null,null,4.9,74,ChIJH7sFBYR754gRSS-Dj8Zrcvg,[],null,false,2025-10-12,false,null,FL-DD Database,'brevard':9 'companion':5 'gregori':2 'homemak':7 'ingram':1 'o':3 'titusvill':8 'truvin':4,[],"[""florida-medicaid""]",[],432 Lincoln Ave,null,432 LINCOLN AVE,false,null,null,provider,false,null,null,null,null,null
8927,2025-11-03 21:44:05.365+00,2025-12-20 06:54:57.883795+00,"MILLICENT PLACE, INC",healthcare,ABA Therapy | Transportation,null,millicent-place-inc-palm-bay-fl-8927,[],[],[],2130 COLUMBUS ST NE,Palm Bay,Brevard,FL,32907,28.009154737898,-80.604536643049,(321) 821-4083,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ChIJPbUChe4S3ogRmhzeKlaxVB4,[],null,false,2025-10-12,false,null,FL-DD Database,'bay':5 'brevard':6 'inc':3 'millic':1 'palm':4 'place':2,[],"[""florida-medicaid""]",[],2130 Columbus St Ne,null,2130 COLUMBUS ST NE,false,null,null,provider,false,null,null,null,null,null
9092,2025-11-03 21:44:05.609+00,2025-12-20 06:54:57.883795+00,"CAROL EGER GELLER AND ASSOCIATES, LLC",healthcare,ABA Therapy | Behavior Assistant,null,carol-eger-geller-and-associates-llc-plantation-fl-9092,[],[],[],10081 NW 3RD COURT,Plantation,Broward,FL,33324,26.126629101861,-80.284041220485,(954) 918-0934,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ChIJha3kcXoI2YgRxdtwTMrkM3Y,[],null,false,2025-10-12,false,null,FL-DD Database,'associ':5 'broward':8 'carol':1 'eger':2 'geller':3 'llc':6 'plantat':7,[],"[""florida-medicaid""]",[],10081 Nw 3rd Ct,null,10081 NW 3RD COURT,false,null,null,provider,false,null,null,null,null,null
8791,2025-11-03 21:44:05.183+00,2025-12-20 06:54:57.883795+00,DANIA DISC DRUGS INC,healthcare,ABA Therapy | Consumable Medical Supplies,null,dania-disc-drugs-inc-fort-lauderdale-fl-8791,[],[],[],5420 NW 33RD AVE STE 7,Fort Lauderdale,Broward,FL,33309,26.192161326276,-80.192660230643,(954) 921-4661,null,null,null,null,null,null,null,null,null,null,null,null,1,1,ChIJAQAQtFiq2YgRmi7ruK-oVVg,[],null,false,2025-10-12,false,null,FL-DD Database,'broward':7 'dania':1 'disc':2 'drug':3 'fort':5 'inc':4 'lauderdal':6,[],"[""florida-medicaid""]",[],5420 Nw 33rd Ave,Suite,5420 NW 33RD AVE STE 7,false,null,null,provider,false,null,null,null,null,null
