column_name,data_type,is_nullable,column_default
id,bigint,NO,nextval('events_id_seq'::regclass)
created_at,timestamp with time zone,YES,now()
updated_at,timestamp with time zone,YES,now()
title,text,NO,null
description,text,YES,null
date,date,NO,null
time,text,YES,null
city,text,NO,null
category,text,YES,null
age_groups,ARRAY,YES,null
registration_url,text,YES,null
image_url,text,YES,null
featured,boolean,YES,false
event_type,text,YES,null
cost,text,YES,null
sensory_accommodations,text,YES,null
ceu_available,boolean,YES,false
source_references,text,YES,null
slug,text,YES,null
verification_status,text,YES,'unverified'::text
verification_source,text,YES,null
specific_accommodations_published,boolean,YES,false
verification_notes,text,YES,null
last_verified_date,date,YES,null
organizer_contact_attempted,date,YES,null
organizer_contact_successful,boolean,YES,null
address,text,YES,null
state,text,YES,'FL'::text
zip_code,text,YES,null
registration_method,text,YES,null
registration_deadline,text,YES,null
registration_details,text,YES,null
registration_required,text,YES,null
accommodations_verified,boolean,YES,false
latitude,numeric,YES,null
longitude,numeric,YES,null
facebook_url,text,YES,null
instagram_url,text,YES,null
x_url,text,YES,null
youtube_url,text,YES,null
linkedin_url,text,YES,null
venue_name,text,YES,null
county,text,YES,null
organizer_name,text,YES,null
organizer_email,text,YES,null
website_url,text,YES,null
end_date,date,YES,null
is_free,boolean,YES,false
organizer_phone,text,YES,null
tiktok_url,text,YES,null
