column_name,data_type,is_nullable,column_default
id,bigint,NO,nextval('resources_id_seq'::regclass)
created_at,timestamp with time zone,YES,now()
updated_at,timestamp with time zone,YES,now()
name,text,NO,null
category,text,NO,'Therapy Services'::text
subcategory,text,YES,null
description,text,YES,null
slug,text,YES,null
accommodations,ARRAY,YES,null
age_groups,ARRAY,YES,null
programs,ARRAY,YES,null
address,text,YES,null
city,text,YES,null
county,text,YES,null
state,text,YES,'FL'::text
zip_code,text,YES,null
latitude,numeric,YES,null
longitude,numeric,YES,null
phone,text,YES,null
normalized_phone,text,YES,null
email,text,YES,null
website,text,YES,null
hours,text,YES,null
denomination,text,YES,null
sensory_room,text,YES,null
alternative_service,text,YES,null
children_program,text,YES,null
adult_program,text,YES,null
accommodation_snippet,text,YES,null
accommodation_tags,text,YES,null
service_type,text,YES,null
rating,numeric,YES,null
user_ratings_total,integer,YES,null
google_place_id,text,YES,null
links,jsonb,YES,'[]'::jsonb
image_url,text,YES,null
verified,boolean,YES,false
last_verified_date,date,YES,null
featured,boolean,YES,false
accessibility_info,text,YES,null
source,text,YES,null
search_vector,tsvector,YES,null
services,ARRAY,YES,null
insurances,ARRAY,YES,null
scholarships,ARRAY,YES,null
address1,text,YES,null
address2,text,YES,null
address_original,text,YES,null
needs_review,boolean,YES,false
review_reason,text,YES,null
address2_needs_manual_review,text,YES,null
resource_type,character varying,YES,'provider'::character varying
animal_therapy,boolean,YES,false
facebook_url,text,YES,null
instagram_url,text,YES,null
x_url,text,YES,null
youtube_url,text,YES,null
linkedin_url,text,YES,null
tiktok_url,text,YES,null
