column_name,data_type,is_nullable,column_default
id,uuid,NO,gen_random_uuid()
name,text,NO,null
school_code,text,YES,null
district,text,YES,null
address,text,YES,null
city,text,YES,null
state,text,YES,'FL'::text
zip,text,YES,null
phone,text,YES,null
email,text,YES,null
director_name,text,YES,null
director_email,text,YES,null
website,text,YES,null
fes_eo_participant,boolean,YES,false
ftc_participant,boolean,YES,false
fes_ua_participant,boolean,YES,false
pep_participant,boolean,YES,false
is_nonprofit,boolean,YES,null
is_religious,boolean,YES,null
denomination,text,YES,null
grade_levels,text,YES,null
accreditation,text,YES,null
latitude,numeric,YES,null
longitude,numeric,YES,null
created_at,timestamp with time zone,YES,now()
slug,text,YES,null
facebook_url,text,YES,null
instagram_url,text,YES,null
x_url,text,YES,null
youtube_url,text,YES,null
linkedin_url,text,YES,null
featured,boolean,YES,false
tiktok_url,text,YES,null
